DATETIME,ENERGY,
2022-04-18T22:09:52+05:30,"5126.00


",
2022-04-19T11:24:37+05:30,"351.11


",
2022-04-19T11:25:22+05:30,"346.79


",
2022-04-19T11:25:38+05:30,"345.03


",
2022-04-19T11:25:58+05:30,"348.51


",
2022-04-19T11:26:16+05:30,"345.01


",
2022-04-19T11:26:34+05:30,"346.66


",
2022-04-19T14:23:26+05:30,"0.00


",
2022-04-19T14:24:06+05:30,"0.00


",
2022-04-19T16:21:31+05:30,"0.00


",
2022-04-19T17:40:54+05:30,"369.08


",
2022-04-19T17:41:13+05:30,"114.30


",
2022-04-19T17:41:29+05:30,"360.84


",
2022-04-19T17:41:45+05:30,"361.66


",
2022-04-19T17:42:03+05:30,"362.23


",
2022-04-19T17:42:22+05:30,"361.04


",
2022-04-19T17:42:44+05:30,"361.01


",
2022-04-19T17:43:10+05:30,"359.78


",
2022-04-19T17:43:30+05:30,"358.17


",
2022-04-19T17:43:46+05:30,"359.54


",
2022-04-19T17:44:09+05:30,"358.77


",
2022-04-19T17:44:41+05:30,"358.68


",
2022-04-19T17:45:08+05:30,"360.03


",
2022-04-19T17:45:24+05:30,"357.70


",
2022-04-19T17:45:40+05:30,"358.22


",
2022-04-19T17:45:57+05:30,"360.23


",
2022-04-19T17:46:21+05:30,"359.29


",
2022-04-19T17:46:39+05:30,"357.89


",
2022-04-19T17:47:02+05:30,"358.52


",
2022-04-19T17:47:23+05:30,"360.98


",
2022-04-19T17:47:41+05:30,"359.89


",
2022-04-19T17:47:57+05:30,"361.99


",
2022-04-19T17:48:16+05:30,"359.83


",
2022-04-19T17:48:36+05:30,"359.46


",
2022-04-19T17:48:53+05:30,"360.77


",
2022-04-19T17:49:09+05:30,"361.08


",
2022-04-19T17:49:27+05:30,"359.07


",
2022-04-19T17:49:59+05:30,"350.83


",
2022-04-19T17:50:14+05:30,"352.12


",
2022-04-26T15:24:47+05:30,"179.97


",
2022-04-26T15:25:02+05:30,"195.45


",
2022-04-26T15:30:13+05:30,"129.34


",
2022-04-28T17:09:18+05:30,"1321.93


",
2022-04-28T17:09:47+05:30,135.49,
2022-04-28T17:10:43+05:30,0,
2022-04-28T17:10:59+05:30,12.5,
2022-04-28T17:11:17+05:30,1.62,
2022-04-28T17:11:32+05:30,9.05,
2022-04-28T17:32:00+05:30,"2216.27


",
2022-04-28T17:34:00+05:30,"67.49


",
2022-04-28T17:34:16+05:30,"162.84


",
2022-04-28T17:34:32+05:30,"195.50


",
2022-04-28T17:34:47+05:30,"45.52


",
2022-04-28T17:35:04+05:30,"31.60


",
2022-04-28T17:35:19+05:30,"32.60


",
2022-04-28T17:35:36+05:30,"44.51


",
2022-04-28T17:35:53+05:30,"32.52


",
2022-04-28T17:36:09+05:30,"32.46


",
2022-04-28T17:36:25+05:30,"61.12


",
2022-04-28T17:36:41+05:30,"62.76


",
2022-04-28T17:36:57+05:30,"32.52


",
2022-04-28T17:37:12+05:30,"32.22


",
2022-04-28T17:37:28+05:30,"32.58


",
2022-04-28T17:37:43+05:30,"33.20


",
2022-04-28T17:37:59+05:30,"46.86


",
2022-04-28T17:38:16+05:30,"33.08


",
2022-04-28T17:38:32+05:30,"42.14


",
2022-04-28T17:38:48+05:30,"36.03


",
2022-04-28T17:39:03+05:30,"3.44


",
2022-04-28T17:39:21+05:30,"30.43


",
2022-04-28T17:39:40+05:30,"30.25


",
2022-04-28T17:39:55+05:30,"1.15


",
2022-04-28T17:40:11+05:30,"32.60


",
2022-04-28T17:40:31+05:30,"1.15


",
2022-04-28T17:41:10+05:30,"17.00


",
2022-04-28T17:41:26+05:30,"15.59


",
2022-04-28T17:41:50+05:30,"16.77


",
2022-04-28T17:42:11+05:30,"53.68


",
2022-04-28T17:42:30+05:30,"132.63


",
2022-04-28T17:42:46+05:30,"146.47


",
2022-04-28T17:43:03+05:30,"161.29


",
